Name:La Que Se Avecina | url:http://diskokosmiko.mx/trivianita/la-que-se-avecina-87015/list,1,5| Fecha:2017| Clase:serie| Idioma:Castellano| Temporada:Temporada completa| id:82753|
Name:Walking Dead| url:http://diskokosmiko.mx/marcos20/the-walking-dead-8-90435| Fecha:2017| Clase:serie| Idioma:Castellano| Temporada:Temporada 8| id:	153021|
Name:| url:| Fecha:2017| Clase:serie| Idioma:Castellano| Temporada:Temporada 1| id:|
Name:| url:| Fecha:2017| Clase:serie| Idioma:Castellano| Temporada:Temporada 1| id:|
Name:| url:| Fecha:2017| Clase:serie| Idioma:Castellano| Temporada:Temporada 1| id:|
Name:| url:| Fecha:2017| Clase:serie| Idioma:Castellano| Temporada:Temporada 1| id:|
Name:| url:| Fecha:2017| Clase:serie| Idioma:Castellano| Temporada:Temporada 1| id:|
Name:| url:| Fecha:2017| Clase:serie| Idioma:Castellano| Temporada:Temporada 1| id:|
Name:| url:| Fecha:2017| Clase:serie| Idioma:Castellano| Temporada:Temporada 1| id:|
Name:| url:| Fecha:2017| Clase:serie| Idioma:Castellano| Temporada:Temporada 1| id:|
Name:| url:| Fecha:2017| Clase:serie| Idioma:Castellano| Temporada:Temporada 1| id:|
Name:| url:| Fecha:2017| Clase:serie| Idioma:Castellano| Temporada:Temporada 1| id:|
Name:| url:| Fecha:2017| Clase:serie| Idioma:Castellano| Temporada:Temporada 1| id:|
Name:| url:| Fecha:2017| Clase:serie| Idioma:Castellano| Temporada:Temporada 1| id:|













